index_id,name,collection,fields,total_hits
CICAgPjChIAJ,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgPjChIAJ,room_listings,isAvailable;isSponsored;type;roomCount;bathroomCount;furnishedStatus;propertyCondition;price;createdAt;__name__,4
CICAgNj4yIcJ,projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgNj4yIcJ,clubs,locationParts.prov;createdAt;__name__,28
CICAgNiryokJ,projects/blingbling-app/databases/(default)/collectionGroups/pom/indexes/CICAgNiryokJ,pom,userId;createdAt;__name__,4
CICAgNj4ho8J,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNj4ho8J,room_listings,isAvailable;isSponsored;locationParts.kab;type;furnishedStatus;price;createdAt;__name__,4
CICAgLjIzo8J,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjIzo8J,room_listings,isAvailable;isSponsored;locationParts.kab;type;isElectricityIncluded;price;createdAt;__name__,34
CICAgJiH7ZQJ,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgJiH7ZQJ,room_listings,isAvailable;isSponsored;type;price;createdAt;__name__,4
CICAgJjUlJYJ,projects/blingbling-app/databases/(default)/collectionGroups/subCategories/indexes/CICAgJjUlJYJ,subCategories,active;order;__name__,4
CICAgNiZwpcJ,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNiZwpcJ,room_listings,isAvailable;isSponsored;locationParts.kab;type;propertyCondition;price;createdAt;__name__,4
CICAgLiTsZgJ,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiTsZgJ,products,categoryParentId;locationParts.kel;status;isAiVerified;createdAt;__name__,4
CICAgNir3pgJ,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNir3pgJ,room_listings,furnishedStatus;isAvailable;isElectricityIncluded;isSponsored;kosBathroomType;propertyCondition;type;price;createdAt;__name__,34
CICAgPjChIAK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgPjChIAK,room_listings,isAvailable;isSponsored;locationParts.kab;type;roomCount;bathroomCount;price;createdAt;__name__,4
CICAgNj4jYAK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgNj4jYAK,products,locationParts.kel;status;isAiVerified;createdAt;__name__,4
CICAgNiav4AK,projects/blingbling-app/databases/(default)/collectionGroups/chats/indexes/CICAgNiav4AK,chats,participants;lastMessageAt;__name__,9
CICAgLjIw4AK,projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgLjIw4AK,clubs,locationParts.kel;isSponsored;createdAt;__name__,4
CICAgOiPyoAK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgOiPyoAK,products,categoryId;locationParts.kel;status;isAiVerified;createdAt;__name__,4
CICAgJj7z4EK,projects/blingbling-app/databases/(default)/collectionGroups/chats/indexes/CICAgJj7z4EK,chats,participants;lastTimestamp;__name__,16
CICAgNjpgYIK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgNjpgYIK,posts,userId;createdAt;__name__,4
CICAgJjF9oIK,projects/blingbling-app/databases/(default)/collectionGroups/chats/indexes/CICAgJjF9oIK,chats,participants;lastTimestamp;__name__,16
CICAgOj3mIMK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOj3mIMK,posts,tags;createdAt;__name__,4
CICAgJjH1IMK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjH1IMK,products,categoryParentId;locationParts.kab;status;isAiVerified;createdAt;__name__,4
CICAgPig2YMK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgPig2YMK,products,locationParts.prov;status;isAiVerified;createdAt;__name__,28
CICAgNjamYQK,projects/blingbling-app/databases/(default)/collectionGroups/categories_v2/indexes/CICAgNjamYQK,categories_v2,active;isParent;order;__name__,50
CICAgLjy1YQK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLjy1YQK,products,locationParts.kec;status;isAiVerified;createdAt;__name__,4
CICAgJjm4YQK,projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgJjm4YQK,club_proposals,locationParts.prov;createdAt;__name__,28
CICAgNirhYUK,projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgNirhYUK,clubs,locationParts.kab;isSponsored;createdAt;__name__,4
CICAgOi3voUK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOi3voUK,posts,locationParts.prov;createdAt;__name__,28
CICAgNiZuIYK,projects/blingbling-app/databases/(default)/collectionGroups/pom/indexes/CICAgNiZuIYK,pom,searchIndex;createdAt;__name__,4
CICAgLix9IYK,projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgLix9IYK,club_proposals,locationParts.kec;createdAt;__name__,4
CICAgJjUgIcK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgJjUgIcK,room_listings,isAvailable;isSponsored;locationParts.kab;type;price;createdAt;__name__,4
CICAgLjIpIcK,projects/blingbling-app/databases/(default)/collectionGroups/lost_and_found/indexes/CICAgLjIpIcK,lost_and_found,type;createdAt;__name__,4
CICAgOj3rYcK,projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgOj3rYcK,clubs,isSponsored;createdAt;__name__,4
CICAgNj4yIcK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgNj4yIcK,products,aiVerificationStatus;isAiVerified;locationParts.prov;status;isAiVerified;createdAt;__name__,28
CICAgLjyuogK,projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgLjyuogK,clubs,locationParts.kec;isSponsored;createdAt;__name__,4
CICAgNja0ogK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNja0ogK,room_listings,isAvailable;locationParts.kab;createdAt;__name__,4
CICAgLiTpokK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiTpokK,products,categoryParentId;locationParts.prov;status;isAiVerified;createdAt;__name__,28
CICAgNiryokK,projects/blingbling-app/databases/(default)/collectionGroups/auctions/indexes/CICAgNiryokK,auctions,category;endAt;__name__,4
CICAgLjRh4oK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjRh4oK,room_listings,isAvailable;isSponsored;createdAt;__name__,4
CICAgJjFvYoK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjFvYoK,products,locationParts.prov;status;isAiVerified;updatedAt;__name__,28
CICAgJiUzYsK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiUzYsK,products,aiVerificationStatus;createdAt;__name__,4
CICAgOj35osK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgOj35osK,room_listings,isAvailable;isSponsored;type;furnishedStatus;price;createdAt;__name__,4
CICAgJiHu40K,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiHu40K,products,userId;createdAt;__name__,4
CICAgNir940K,projects/blingbling-app/databases/(default)/collectionGroups/auctions/indexes/CICAgNir940K,auctions,locationParts.kab;endAt;__name__,4
CICAgNiZ1o4K,projects/blingbling-app/databases/(default)/collectionGroups/jobs/indexes/CICAgNiZ1o4K,jobs,locationParts.kab;createdAt;__name__,4
CICAgNj4ho8K,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNj4ho8K,room_listings,isAvailable;isSponsored;type;roomCount;bathroomCount;price;createdAt;__name__,4
CICAgOiPwI8K,projects/blingbling-app/databases/(default)/collectionGroups/categories_v2/indexes/CICAgOiPwI8K,categories_v2,isParent;order;__name__,50
CICAgLjIzo8K,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjIzo8K,room_listings,isAvailable;isSponsored;locationParts.kab;type;kosBathroomType;price;createdAt;__name__,4
CICAgOi3kJAK,projects/blingbling-app/databases/(default)/collectionGroups/categories/indexes/CICAgOi3kJAK,categories,parentId;order;__name__,4
CICAgJiH2JAK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiH2JAK,products,locationParts.kab;createdAt;__name__,4
CICAgLiT_JAK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiT_JAK,products,status;createdAt;__name__,4
CICAgLjyrJEK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjyrJEK,room_listings,isAvailable;isSponsored;locationParts.kab;type;kosBathroomType;isElectricityIncluded;price;createdAt;__name__,34
CICAgOj3gpIK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOj3gpIK,posts,parentType;createdAt;__name__,4
CICAgPigw5IK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgPigw5IK,room_listings,isAvailable;listingType;type;isSponsored;createdAt;price;__name__,4
CICAgNi4-ZIK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgNi4-ZIK,posts,category;createdAt;__name__,4
CICAgNjp5ZMK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgNjp5ZMK,posts,locationParts.kab;createdAt;__name__,4
CICAgNirk5QK,projects/blingbling-app/databases/(default)/collectionGroups/ai_cases/indexes/CICAgNirk5QK,ai_cases,stage;createdAt;__name__,4
CICAgJiH7ZQK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiH7ZQK,products,locationParts.kab;locationParts.kec;createdAt;__name__,4
CICAgLjyi5UK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLjyi5UK,products,locationParts.kab;status;isAiVerified;createdAt;__name__,4
CICAgNja_ZUK,projects/blingbling-app/databases/(default)/collectionGroups/lost_and_found/indexes/CICAgNja_ZUK,lost_and_found,locationParts.kab;locationParts.kec;locationParts.kel;locationParts.prov;createdAt;__name__,28
CICAgJjUlJYK,projects/blingbling-app/databases/(default)/collectionGroups/categories_v2/indexes/CICAgJjUlJYK,categories_v2,active;parentId;order;__name__,4
CICAgLjIspYK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLjIspYK,room_listings,isAvailable;type;isSponsored;createdAt;__name__,4
CICAgOj3u5YK,projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgOj3u5YK,club_proposals,locationParts.kel;createdAt;__name__,4
CICAgNj43JYK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNj43JYK,room_listings,furnishedStatus;isAvailable;isElectricityIncluded;isSponsored;kosBathroomType;listingType;propertyCondition;type;price;createdAt;__name__,34
CICAgNiZwpcK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNiZwpcK,room_listings,isAvailable;isSponsored;type;propertyCondition;price;createdAt;__name__,4
CICAgLiTsZgK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgLiTsZgK,products,status;isAiVerified;createdAt;__name__,4
CICAgNir3pgK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgNir3pgK,products,locationParts.prov;createdAt;__name__,28
CICAgOi36pgK,projects/blingbling-app/databases/(default)/collectionGroups/posts/indexes/CICAgOi36pgK,posts,category;locationParts.kab;createdAt;__name__,4
CICAgNjajpkK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgNjajpkK,room_listings,isAvailable;isSponsored;locationParts.kab;type;roomCount;bathroomCount;furnishedStatus;propertyCondition;price;createdAt;__name__,4
CICAgLjywZkK,projects/blingbling-app/databases/(default)/collectionGroups/categories_v2/indexes/CICAgLjywZkK,categories_v2,active;order;__name__,4
CICAgJjm-pkK,projects/blingbling-app/databases/(default)/collectionGroups/pom/indexes/CICAgJjm-pkK,pom,searchIndex;locationParts.kab;createdAt;__name__,4
CICAgJiU25oK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJiU25oK,products,address;createdAt;__name__,4
CICAgOj38ZoK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgOj38ZoK,room_listings,isAvailable;isSponsored;type;listingType;price;createdAt;__name__,4
CICAgLiI_5oK,projects/blingbling-app/databases/(default)/collectionGroups/jobs/indexes/CICAgLiI_5oK,jobs,jobType;createdAt;__name__,4
CICAgNjpr5sK,projects/blingbling-app/databases/(default)/collectionGroups/reports/indexes/CICAgNjpr5sK,reports,status;createdAt;__name__,4
CICAgJjFx5sK,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjFx5sK,products,categoryParentId;status;isAiVerified;createdAt;__name__,4
CICAgLix4JsK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgLix4JsK,room_listings,isAvailable;isSponsored;locationParts.kab;type;listingType;price;createdAt;__name__,4
CICAgJjHoJwK,projects/blingbling-app/databases/(default)/collectionGroups/club_proposals/indexes/CICAgJjHoJwK,club_proposals,locationParts.kab;createdAt;__name__,4
CICAgOi3z5wK,projects/blingbling-app/databases/(default)/collectionGroups/room_listings/indexes/CICAgOi3z5wK,room_listings,isAvailable;createdAt;__name__,4
CICAgNj4kZ4K,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgNj4kZ4K,products,locationParts.prov;status;isAiVerified;userUpdatedAt;__name__,28
CICAgOiP1J4K,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgOiP1J4K,products,categoryId;locationParts.prov;status;isAiVerified;createdAt;__name__,28
CICAgLjI2Z4K,projects/blingbling-app/databases/(default)/collectionGroups/clubs/indexes/CICAgLjI2Z4K,clubs,locationParts.prov;isSponsored;createdAt;__name__,28
CICAgJjU7p4K,projects/blingbling-app/databases/(default)/collectionGroups/products/indexes/CICAgJjU7p4K,products,categoryId;locationParts.kab;status;isAiVerified;createdAt;__name__,4
